Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),Average_Temperature,Temperature_Range,Rain_Status,Rain_Category,Year,Month,Day,Month_Name,Season
2024-05-14,11.6,16.7,0.0,2.6,3.8,SSE,22.0,13:25,13.8,60,7,W,9,1028.5,16.1,57,5.0,SSW,9,1028.5,14.149999999999999,5.1,No Rain,No Rain,2024,5,14,May,Autumn
2024-05-15,6.7,17.8,0.0,1.6,8.1,NW,19.0,11:34,9.1,85,5,NE,9,1030.1,16.5,58,2.0,SSW,9,1028.1,12.25,11.100000000000001,No Rain,No Rain,2024,5,15,May,Autumn
2024-05-16,6.5,17.7,0.0,2.0,9.2,SSW,15.0,14:09,9.4,86,1,NNE,7,1030.0,17.2,57,1.0,S,7,1027.3,12.1,11.2,No Rain,No Rain,2024,5,16,May,Autumn
2024-05-17,7.6,15.8,0.0,2.2,1.4,SW,35.0,14:55,12.2,83,5,NNW,9,1027.1,12.7,90,7.0,SSW,17,1026.6,11.7,8.200000000000001,No Rain,No Rain,2024,5,17,May,Autumn
2024-05-18,7.8,13.9,1.8,1.6,9.3,SSE,28.0,10:44,10.6,56,2,SE,9,1032.7,13.3,45,1.0,SW,11,1031.0,10.85,6.1000000000000005,Rainy,Light,2024,5,18,May,Autumn
2024-05-19,6.2,15.4,0.0,1.8,0.2,NW,26.0,3:52,11.4,74,7,NW,6,1025.3,14.1,95,7.0,WNW,2,1022.3,10.8,9.2,No Rain,No Rain,2024,5,19,May,Autumn
2024-05-20,10.2,14.7,3.2,0.6,0.7,SSW,24.0,0:05,11.0,100,7,SW,7,1027.4,13.9,76,7.0,SSW,11,1027.5,12.45,4.5,Rainy,Moderate,2024,5,20,May,Autumn
2024-05-21,10.3,14.7,0.8,2.0,0.4,SSW,19.0,12:56,11.6,88,8,SSW,4,1030.8,13.6,66,6.0,S,9,1029.2,12.5,4.399999999999999,Rainy,Light,2024,5,21,May,Autumn
2024-05-22,5.1,16.2,0.2,0.4,5.6,SSW,17.0,13:58,7.4,88,1,NNE,9,1028.9,15.9,67,5.0,S,6,1026.5,10.649999999999999,11.1,Rainy,Light,2024,5,22,May,Autumn
2024-05-23,7.3,15.2,0.8,0.6,4.8,SSW,15.0,13:12,11.4,95,7,E,2,1029.2,14.8,66,7.0,SSW,6,1027.3,11.25,7.8999999999999995,Rainy,Light,2024,5,23,May,Autumn
2024-05-24,5.9,13.7,0.0,1.0,0.0,SSW,15.0,15:46,9.0,83,7,NE,6,1029.0,13.6,82,7.0,SSW,2,1027.3,9.8,7.799999999999999,No Rain,No Rain,2024,5,24,May,Autumn
2024-05-25,8.7,17.1,0.0,0.4,6.7,NNE,13.0,8:30,12.1,91,7,N,6,1028.5,14.7,72,1.0,SSW,6,1025.8,12.9,8.400000000000002,No Rain,No Rain,2024,5,25,May,Autumn
2024-05-26,5.2,16.7,0.0,1.4,9.6,NNE,15.0,6:19,6.3,100,0,NNE,9,1027.1,16.3,55,1.0,S,6,1024.2,10.95,11.5,No Rain,No Rain,2024,5,26,May,Autumn
2024-05-27,5.2,20.2,0.0,1.2,9.5,NNE,17.0,9:10,7.6,85,0,NNE,11,1026.6,19.5,37,0.0,NNW,9,1024.3,12.7,15.0,No Rain,No Rain,2024,5,27,May,Autumn
2024-05-28,7.4,20.0,0.0,2.8,9.4,NNE,26.0,12:36,10.1,72,0,NE,9,1027.6,19.5,45,0.0,NNE,15,1025.2,13.7,12.6,No Rain,No Rain,2024,5,28,May,Autumn
2024-05-29,7.9,19.5,0.0,4.0,9.0,N,54.0,13:37,12.9,57,1,N,13,1024.8,19.1,44,2.0,N,26,1020.8,13.7,11.6,No Rain,No Rain,2024,5,29,May,Autumn
2024-05-30,12.9,20.4,0.0,6.6,0.2,N,65.0,9:48,17.4,60,7,N,20,1015.3,20.0,52,8.0,N,24,1009.7,16.65,7.499999999999998,No Rain,No Rain,2024,5,30,May,Autumn
2024-05-31,14.2,18.4,3.6,4.0,8.5,NNW,43.0,11:17,14.8,60,1,N,17,1012.1,17.9,38,7.0,WNW,13,1013.1,16.299999999999997,4.199999999999999,Rainy,Moderate,2024,5,31,May,Autumn
2024-01-06,7.3,14.0,0.0,3.0,3.0,S,26.0,15:11,10.2,76,2,NNE,2,1025.9,13.5,69,6.0,SSW,13,1025.2,10.65,6.7,No Rain,No Rain,2024,1,6,January,Summer
2024-02-06,5.4,13.9,0.2,0.2,0.9,S,35.0,11:02,8.9,97,7, ,Calm,1027.0,13.3,59,6.0,S,9,1024.1,9.65,8.5,Rainy,Light,2024,2,6,February,Summer
2024-03-06,8.2,14.6,0.8,1.6,1.6,S,24.0,13:15,9.6,89,7,SW,6,1016.5,13.4,64,5.0,SSW,11,1012.9,11.399999999999999,6.4,Rainy,Light,2024,3,6,March,Autumn
2024-04-06,7.2,13.8,0.0,1.0,0.2,NW,20.0,2:04,11.1,65,7,NNW,13,1018.0,12.8,60,7.0,S,6,1016.9,10.5,6.6000000000000005,No Rain,No Rain,2024,4,6,April,Autumn
2024-05-06,8.6,14.7,0.0,1.0,2.1,S,24.0,15:18,10.5,84,7,NNE,2,1022.5,14.4,63,7.0,SSW,7,1022.8,11.649999999999999,6.1,No Rain,No Rain,2024,5,6,May,Autumn
2024-06-06,8.9,17.1,0.0,1.4,4.5,SSE,31.0,12:56,11.4,84,7,S,2,1027.3,16.3,60,3.0,SSE,11,1025.2,13.0,8.200000000000001,No Rain,No Rain,2024,6,6,June,Winter
2024-07-06,9.3,16.0,0.0,1.2,1.7,,,,10.8,100,4,SSE,7,1025.0,15.1,72,,S,13,1020.8,12.65,6.699999999999999,No Rain,No Rain,2024,7,6,July,Winter
2024-08-06,7.8,14.3,0.2,1.0,0.1,S,17.0,12:13,11.2,100,7,SE,2,1018.0,12.9,95,7.0,SSW,9,1016.1,11.05,6.500000000000001,Rainy,Light,2024,8,6,August,Winter
2024-09-06,11.1,14.6,0.4,0.2,0.1,NW,19.0,4:31,11.8,99,8,WSW,6,1018.5,13.7,67,7.0,SSW,6,1018.7,12.85,3.5,Rainy,Light,2024,9,6,September,Spring
2024-10-06,5.5,15.6,0.8,1.0,7.0,N,54.0,23:50,7.3,99,2,NE,6,1024.1,15.1,43,7.0,N,15,1020.2,10.55,10.1,Rainy,Light,2024,10,6,October,Spring
2024-11-06,7.2,16.8,2.8,3.0,2.6,N,61.0,7:15,12.2,79,8,N,28,1011.6,15.7,64,4.0,NNW,15,1007.1,12.0,9.600000000000001,Rainy,Moderate,2024,11,6,November,Spring
2024-12-06,9.6,12.9,5.6,2.4,3.4,W,37.0,4:58,10.9,74,4,SW,11,1016.2,12.6,52,7.0,SSW,11,1019.5,11.25,3.3000000000000007,Rainy,Moderate,2024,12,6,December,Summer
2024-06-13,8.3,10.1,0.8,1.0,0.0,W,17.0,9:39,9.3,86,7,WSW,7,1023.5,9.6,99,7.0, ,Calm,1022.0,9.2,1.799999999999999,Rainy,Light,2024,6,13,June,Winter
2024-06-14,8.0,12.2,1.2,0.4,0.1,N,15.0,9:50,8.6,100,7,NNE,6,1020.9,12.1,70,7.0,SSE,4,1018.7,10.1,4.199999999999999,Rainy,Light,2024,6,14,June,Winter
2024-06-15,4.1,14.4,0.0,0.6,4.1,ESE,33.0,11:48,6.3,100,7, ,Calm,1022.7,13.3,65,6.0,S,11,1021.2,9.25,10.3,No Rain,No Rain,2024,6,15,June,Winter
2024-06-16,6.1,13.4,0.0,0.8,4.7,S,39.0,19:04,8.6,79,3,SW,7,1022.1,12.8,65,7.0,S,13,1021.3,9.75,7.300000000000001,No Rain,No Rain,2024,6,16,June,Winter
2024-06-17,7.5,13.9,0.2,1.6,6.3,S,24.0,0:57,8.8,89,7, ,Calm,1022.6,13.4,62,2.0,SSW,11,1020.9,10.7,6.4,Rainy,Light,2024,6,17,June,Winter
2024-06-18,3.6,13.0,0.0,1.8,6.1,SSW,17.0,15:15,5.5,86,5,NNE,7,1020.9,12.2,60,3.0,SSW,7,1018.1,8.3,9.4,No Rain,No Rain,2024,6,18,June,Winter
2024-06-19,1.4,12.9,0.0,0.8,8.6,NNE,24.0,14:42,3.2,86,1,NNE,9,1018.6,12.2,48,4.0,N,11,1015.6,7.15,11.5,No Rain,No Rain,2024,6,19,June,Winter
2024-06-20,3.1,13.9,0.0,1.6,0.7,SSE,17.0,20:49,7.1,73,7,NNE,7,1017.4,11.3,58,7.0,SSW,7,1016.1,8.5,10.8,No Rain,No Rain,2024,6,20,June,Winter
2024-06-21,4.0,13.2,0.0,0.8,1.1,SSW,24.0,12:59,5.9,88,7, ,Calm,1023.0,12.7,62,7.0,SSW,13,1023.8,8.6,9.2,No Rain,No Rain,2024,6,21,June,Winter
2024-06-22,5.1,13.3,0.2,1.0,5.1,SSW,20.0,12:17,7.1,100,3,NE,7,1031.0,12.2,72,7.0,SSW,9,1029.3,9.2,8.200000000000001,Rainy,Light,2024,6,22,June,Winter
2024-06-23,2.2,15.0,0.0,1.4,8.6,N,24.0,14:39,2.9,100,1,NNE,9,1027.8,14.9,51,1.0,N,13,1022.8,8.6,12.8,No Rain,No Rain,2024,6,23,June,Winter
2024-06-24,2.9,13.5,0.0,2.0,3.0,N,39.0,12:28,6.7,81,7,NNE,9,1018.6,12.5,57,6.0,NNE,15,1015.1,8.2,10.6,No Rain,No Rain,2024,6,24,June,Winter
2024-06-25,6.7,16.8,0.0,1.8,6.1,N,43.0,1:55,10.3,75,7,N,9,1015.4,16.5,45,4.0,N,19,1013.7,11.75,10.100000000000001,No Rain,No Rain,2024,6,25,June,Winter
2024-06-26,10.0,14.4,0.2,3.4,5.5,NNW,35.0,14:05,10.2,69,1,N,17,1014.9,13.7,50,4.0,NNW,17,1014.2,12.2,4.4,Rainy,Light,2024,6,26,June,Winter
2024-06-27,9.3,16.6,0.2,1.6,8.1,NNW,28.0,10:57,11.2,77,1,NNW,9,1019.8,15.1,45,3.0,NNW,11,1019.3,12.950000000000001,7.300000000000001,Rainy,Light,2024,6,27,June,Winter
2024-06-28,8.2,16.8,0.0,1.8,6.1,N,50.0,22:49,12.1,71,3,NNW,20,1022.3,15.6,54,7.0,N,26,1018.1,12.5,8.600000000000001,No Rain,No Rain,2024,6,28,June,Winter
2024-06-29,12.0,12.9,0.0,5.2,0.0,N,50.0,0:32,12.8,51,7,N,19,1013.1,10.6,89,7.0,NW,7,1013.4,12.45,0.9000000000000004,No Rain,No Rain,2024,6,29,June,Winter
2024-06-30,7.0,12.2,7.0,2.0,4.0,SSE,35.0,12:45,7.6,87,6,SW,6,1021.0,10.7,77,7.0,SSW,11,1021.8,9.6,5.199999999999999,Rainy,Moderate,2024,6,30,June,Winter
2024-01-07,6.8,12.0,4.4,0.4,5.4,S,19.0,12:45,7.5,97,7,NE,2,1028.4,11.6,61,3.0,SSW,7,1028.3,9.4,5.2,Rainy,Moderate,2024,1,7,January,Summer
2024-02-07,3.8,12.4,0.0,0.2,7.1,SSW,22.0,15:23,5.7,90,7,NE,6,1034.4,11.5,51,4.0,SSW,11,1033.0,8.1,8.600000000000001,No Rain,No Rain,2024,2,7,February,Summer
2024-03-07,1.0,11.7,0.0,1.2,8.9,SSW,17.0,15:58,2.8,84,0,NE,9,1037.9,10.6,67,1.0,WSW,9,1036.7,6.35,10.7,No Rain,No Rain,2024,3,7,March,Autumn
2024-04-07,1.3,11.9,0.0,0.6,2.9,NE,15.0,8:39,2.3,95,1,NE,11,1040.3,10.7,84,8.0,WSW,6,1037.9,6.6000000000000005,10.6,No Rain,No Rain,2024,4,7,April,Autumn
2024-05-07,2.2,11.4,0.0,0.6,0.0,SSE,17.0,19:10,8.8,96,7, ,Calm,1041.1,11.0,87,8.0,SW,7,1039.9,6.800000000000001,9.2,No Rain,No Rain,2024,5,7,May,Autumn
2024-06-07,3.7,10.5,0.0,0.4,5.7,ESE,13.0,10:41,7.6,82,7,ENE,2,1041.5,9.9,72,1.0,S,7,1038.0,7.1,6.8,No Rain,No Rain,2024,6,7,June,Winter
2024-07-07,3.4,16.9,0.0,0.6,7.2,NE,24.0,14:59,3.6,100,1,NE,9,1035.0,15.8,44,5.0,NE,17,1028.9,10.149999999999999,13.499999999999998,No Rain,No Rain,2024,7,7,July,Winter
2024-08-07,3.5,16.6,0.0,1.6,0.3,NNE,41.0,13:15,9.4,77,7,NNE,4,1023.0,15.5,65,7.0,NNE,22,1017.4,10.05,13.100000000000001,No Rain,No Rain,2024,8,7,August,Winter
2024-09-07,9.3,13.1,8.4,1.2,0.0,SSW,30.0,17:37,11.4,100,8,W,6,1020.2,12.3,100,8.0,SW,9,1020.3,11.2,3.799999999999999,Rainy,Moderate,2024,9,7,September,Spring
2024-10-07,10.2,14.3,11.8,3.0,3.8,NNE,35.0,23:38,10.5,80,7,WNW,9,1021.9,12.9,63,1.0,N,9,1019.8,12.25,4.100000000000001,Rainy,Heavy,2024,10,7,October,Spring
2024-11-07,9.7,13.6,0.0,1.6,0.3,N,52.0,16:23,12.1,69,7,NNE,17,1017.5,13.4,62,7.0,N,28,1013.0,11.649999999999999,3.9000000000000004,No Rain,No Rain,2024,11,7,November,Spring
2024-12-07,10.2,14.8,3.6,0.0,5.1,N,30.0,1:18,10.4,100,8,N,9,1015.4,14.6,65,1.0,SSW,2,1014.0,12.5,4.600000000000001,Rainy,Moderate,2024,12,7,December,Summer
2024-07-13,7.9,13.7,0.8,1.2,5.2,SSW,24.0,14:18,10.4,93,1,W,7,1017.3,12.6,73,6.0,SSW,11,1016.1,10.8,5.799999999999999,Rainy,Light,2024,7,13,July,Winter
2024-07-14,6.8,12.0,3.4,2.0,3.4,SSW,30.0,16:46,7.5,92,7,SW,9,1016.3,11.3,69,2.0,SW,11,1013.3,9.4,5.2,Rainy,Moderate,2024,7,14,July,Winter
2024-07-15,7.3,12.1,1.2,0.4,0.7,WSW,41.0,11:37,9.0,80,4,WNW,13,1007.8,10.3,80,8.0,W,15,1004.1,9.7,4.8,Rainy,Light,2024,7,15,July,Winter
2024-07-16,9.0,13.6,19.6,0.6,0.0,S,37.0,2:02,12.1,100,8,SSW,9,1005.8,13.0,88,8.0,SSW,9,1007.1,11.3,4.6,Rainy,Heavy,2024,7,16,July,Winter
2024-07-17,8.6,14.0,0.2,0.6,1.2,SSW,33.0,18:57,10.3,100,8,SW,4,1012.4,12.3,85,7.0,SW,13,1011.6,11.3,5.4,Rainy,Light,2024,7,17,July,Winter
2024-07-18,7.3,12.1,1.0,1.2,3.9,WSW,28.0,12:17,8.5,82,3,WSW,9,1017.1,11.0,63,6.0,SSW,6,1015.6,9.7,4.8,Rainy,Light,2024,7,18,July,Winter
2024-07-19,7.7,12.1,0.0,1.6,0.1,N,57.0,20:16,9.5,66,7,N,20,1010.5,11.2,67,8.0,N,28,1005.3,9.9,4.3999999999999995,No Rain,No Rain,2024,7,19,July,Winter
2024-07-20,9.5,12.2,0.0,2.4,0.1,N,46.0,0:09,10.8,60,7,NW,20,997.5,11.7,85,7.0,W,15,1002.5,10.85,2.6999999999999993,No Rain,No Rain,2024,7,20,July,Winter
2024-07-21,7.9,16.6,4.0,2.8,4.6,NW,31.0,14:44,10.0,76,5,N,11,1018.2,14.3,62,7.0,N,17,1017.6,12.25,8.700000000000001,Rainy,Moderate,2024,7,21,July,Winter
2024-07-22,9.9,17.1,0.6,0.8,5.1,NNW,41.0,12:19,12.3,81,3,N,17,1021.9,17.0,58,7.0,NNW,19,1021.2,13.5,7.200000000000001,Rainy,Light,2024,7,22,July,Winter
2024-07-23,11.1,17.7,0.0,2.8,7.1,NNW,50.0,15:19,12.7,57,7,N,17,1023.9,17.0,46,7.0,N,19,1020.9,14.399999999999999,6.6,No Rain,No Rain,2024,7,23,July,Winter
2024-07-24,11.0,15.8,0.2,4.3,1.1,N,56.0,15:45,11.6,56,7,N,19,1019.1,15.7,48,8.0,N,22,1013.8,13.4,4.800000000000001,Rainy,Light,2024,7,24,July,Winter
2024-07-25,11.5,13.7,0.0,3.4,1.9,N,54.0,2:09,12.7,64,8,N,15,1010.3,12.5,77,7.0,N,9,1009.1,12.6,2.1999999999999993,No Rain,No Rain,2024,7,25,July,Winter
2024-07-26,7.7,14.5,3.2,1.6,8.7,NNW,54.0,15:14,9.8,74,1,N,19,1017.2,14.0,61,1.0,N,31,1015.9,11.1,6.8,Rainy,Moderate,2024,7,26,July,Winter
2024-07-27,9.7,11.8,0.0,3.0,1.7,W,52.0,17:48,10.2,74,7,N,19,1016.4,9.1,86,7.0,SW,6,1016.5,10.75,2.1000000000000014,No Rain,No Rain,2024,7,27,July,Winter
2024-07-28,5.4,11.7,6.2,1.0,4.1,SSW,41.0,14:24,7.1,82,6,WSW,11,1024.0,11.2,57,7.0,SSW,13,1025.5,8.55,6.299999999999999,Rainy,Moderate,2024,7,28,July,Winter
2024-07-29,7.0,11.7,2.8,1.2,0.3,W,17.0,1:10,8.1,100,8,WSW,4,1031.6,11.4,93,7.0, ,Calm,1031.3,9.35,4.699999999999999,Rainy,Moderate,2024,7,29,July,Winter
2024-07-30,6.8,13.9,1.2,0.0,7.5,SSW,19.0,14:36,7.5,96,7,NE,11,1037.5,12.4,69,2.0,SSW,9,1035.9,10.35,7.1000000000000005,Rainy,Light,2024,7,30,July,Winter
2024-07-31,3.5,10.2,0.0,1.0,5.2,NE,13.0,4:31,5.0,100,8,NNE,7,1037.8,9.2,78,1.0,N,9,1036.0,6.85,6.699999999999999,No Rain,No Rain,2024,7,31,July,Winter
2024-01-10,8.5,17.2,0.0,4.0,5.2,SSW,30.0,10:59,15.3,67,7,W,6,1025.0,16.2,62,6.0,S,13,1025.3,12.85,8.7,No Rain,No Rain,2024,1,10,January,Summer
2024-02-10,7.4,17.1,0.0,3.6,11.3,SSW,30.0,17:04,13.5,59,1,SSE,11,1030.7,15.0,60,1.0,S,17,1027.8,12.25,9.700000000000001,No Rain,No Rain,2024,2,10,February,Summer
2024-03-10,8.0,26.1,0.0,4.0,11.3,N,39.0,9:40,17.1,65,2,NNE,7,1026.5,25.8,34,2.0,N,15,1020.7,17.05,18.1,No Rain,No Rain,2024,3,10,March,Autumn
2024-04-10,17.1,24.4,0.0,8.4,4.6,N,63.0,10:40,19.6,59,2,NNE,20,1011.8,21.6,49,7.0,N,20,1006.2,20.75,7.299999999999997,No Rain,No Rain,2024,4,10,April,Autumn
2024-05-10,11.9,20.1,0.2,6.6,6.1,NNW,44.0,11:41,17.3,56,7,NNW,15,1006.0,15.1,88,8.0,WSW,2,1004.6,16.0,8.200000000000001,Rainy,Light,2024,5,10,May,Autumn
2024-06-10,12.8,20.8,12.6,3.2,6.9,NNW,37.0,12:54,14.9,65,3,NNW,11,1009.5,19.4,41,7.0,WNW,15,1011.6,16.8,8.0,Rainy,Heavy,2024,6,10,June,Winter
2024-07-10,14.2,18.0,0.2,5.6,0.2,SW,44.0,12:53,15.6,64,7,NNW,17,1014.4,14.4,78,7.0,S,11,1017.4,16.1,3.8000000000000007,Rainy,Light,2024,7,10,July,Winter
2024-08-10,9.5,14.2,0.2,3.0,10.7,SSW,35.0,15:11,11.8,51,4,SE,11,1026.6,13.8,50,4.0,SSW,17,1027.0,11.85,4.699999999999999,Rainy,Light,2024,8,10,August,Winter
2024-09-10,4.4,19.2,0.0,4.4,11.7,SW,20.0,11:42,10.6,63,1,SE,2,1027.2,16.5,46,1.0,SSW,11,1022.5,11.8,14.799999999999999,No Rain,No Rain,2024,9,10,September,Spring
2024-10-10,10.3,20.0,0.0,6.0,10.6,N,50.0,7:02,15.3,58,6,N,20,1019.4,17.5,49,1.0,S,15,1021.7,15.15,9.7,No Rain,No Rain,2024,10,10,October,Spring
2024-11-10,7.9,16.7,0.0,5.0,6.8,S,31.0,12:01,12.3,59,1,WSW,7,1026.3,15.3,56,7.0,S,15,1025.5,12.3,8.799999999999999,No Rain,No Rain,2024,11,10,November,Spring
2024-12-10,11.0,17.0,0.0,5.0,10.4,SSW,37.0,15:25,12.8,57,4,SSE,11,1030.0,16.2,53,1.0,SSW,19,1027.1,14.0,6.0,No Rain,No Rain,2024,12,10,December,Summer
2024-10-13,7.2,24.3,0.0,5.4,10.2,N,48.0,9:23,15.8,52,5,N,15,1022.1,23.0,32,7.0,N,24,1017.7,15.75,17.1,No Rain,No Rain,2024,10,13,October,Spring
2024-10-14,14.5,19.8,0.0,6.8,8.8,SSW,39.0,16:10,16.0,83,4,S,6,1019.1,17.9,73,1.0,SSW,13,1018.5,17.15,5.300000000000001,No Rain,No Rain,2024,10,14,October,Spring
2024-10-15,10.4,26.9,0.0,3.0,8.1,NE,28.0,12:15,14.6,77,3,NNW,2,1021.3,25.8,38,7.0,NE,9,1017.0,18.65,16.5,No Rain,No Rain,2024,10,15,October,Spring
2024-10-16,14.6,25.2,1.8,6.2,7.8,NNW,37.0,11:48,18.5,65,5,N,15,1018.1,24.5,45,6.0,N,17,1014.9,19.9,10.6,Rainy,Light,2024,10,16,October,Spring
2024-10-17,16.2,25.7,0.0,7.2,4.6,N,46.0,9:46,21.3,65,7,N,15,1013.7,25.2,46,7.0,NNE,13,1009.7,20.95,9.5,No Rain,No Rain,2024,10,17,October,Spring
2024-10-18,19.3,21.9,4.0,3.6,2.1,N,39.0,1:50,19.9,84,8,N,17,999.5,20.0,94,6.0, ,Calm,997.4,20.6,2.599999999999998,Rainy,Moderate,2024,10,18,October,Spring
2024-10-19,13.2,16.8,32.4,5.8,7.5,SW,39.0,1:53,13.4,89,8,SSW,19,1016.3,16.5,74,6.0,S,13,1019.0,15.0,3.6000000000000014,Rainy,Heavy,2024,10,19,October,Spring
2024-10-20,13.2,17.6,0.0,4.0,10.0,SSW,31.0,14:57,15.2,74,5,SSE,9,1024.5,17.1,70,5.0,SSW,13,1024.1,15.4,4.400000000000002,No Rain,No Rain,2024,10,20,October,Spring
2024-10-21,9.8,27.8,0.0,5.4,11.5,E,22.0,14:59,14.0,79,4,NNE,9,1021.6,25.2,45,1.0,SSW,6,1017.1,18.8,18.0,No Rain,No Rain,2024,10,21,October,Spring
2024-10-22,13.9,30.6,0.0,6.8,8.3,S,44.0,15:27,22.0,48,7,N,22,1012.7,29.7,32,6.0,N,20,1009.5,22.25,16.700000000000003,No Rain,No Rain,2024,10,22,October,Spring
2024-10-23,13.1,19.6,0.0,5.6,7.9,SW,54.0,18:50,13.4,74,7,SW,6,1012.9,18.1,52,2.0,S,13,1008.4,16.35,6.500000000000002,No Rain,No Rain,2024,10,23,October,Spring
2024-10-24,10.4,16.9,0.0,6.4,11.5,S,35.0,12:59,13.4,59,5,WSW,11,1015.7,15.5,49,7.0,S,17,1014.9,13.649999999999999,6.499999999999998,No Rain,No Rain,2024,10,24,October,Spring
2024-10-25,9.8,15.4,0.2,6.8,8.5,S,35.0,13:05,11.0,70,4,WSW,11,1020.8,15.0,44,3.0,S,13,1021.4,12.600000000000001,5.6,Rainy,Light,2024,10,25,October,Spring
2024-10-26,5.9,22.8,0.2,2.6,11.1,NNE,30.0,16:23,11.6,60,3, ,Calm,1021.7,20.4,32,1.0,SSW,9,1017.3,14.350000000000001,16.9,Rainy,Light,2024,10,26,October,Spring
2024-10-27,11.5,25.7,0.0,7.6,6.5,NNW,39.0,9:00,18.9,35,7,N,17,1015.8,25.4,31,5.0,SSW,7,1014.0,18.6,14.2,No Rain,No Rain,2024,10,27,October,Spring
2024-10-28,12.3,17.1,0.0,6.8,11.0,SE,35.0,13:05,14.3,76,7,SSW,11,1022.9,16.2,53,7.0,SSE,15,1024.0,14.700000000000001,4.800000000000001,No Rain,No Rain,2024,10,28,October,Spring
2024-10-29,10.0,18.6,0.0,5.2,7.3,SSW,28.0,18:35,13.8,67,7,SW,7,1026.5,17.9,53,1.0,S,11,1024.7,14.3,8.600000000000001,No Rain,No Rain,2024,10,29,October,Spring
2024-10-30,11.8,21.5,0.0,5.2,9.3,S,31.0,17:01,13.7,68,7,W,7,1020.2,19.4,50,1.0,S,9,1015.8,16.65,9.7,No Rain,No Rain,2024,10,30,October,Spring
2024-10-31,12.3,18.7,0.0,5.2,5.0,SSW,33.0,15:37,14.1,74,4,SSW,6,1014.2,17.1,54,7.0,SSW,11,1013.7,15.5,6.399999999999999,No Rain,No Rain,2024,10,31,October,Spring
2024-01-11,12.1,16.6,0.0,4.0,7.6,SW,33.0,14:32,12.9,53,7,SE,11,1020.0,16.0,47,4.0,S,15,1021.0,14.350000000000001,4.500000000000002,No Rain,No Rain,2024,1,11,January,Summer
2024-02-11,7.4,25.8,0.0,5.2,7.8,N,44.0,13:45,13.0,64,1,NNW,9,1019.6,24.8,23,7.0,N,20,1013.0,16.6,18.4,No Rain,No Rain,2024,2,11,February,Summer
2024-03-11,12.9,21.3,0.0,14.4,11.5,N,57.0,3:34,18.7,60,3,SSW,19,1008.6,20.7,42,1.0,S,15,1009.2,17.1,8.4,No Rain,No Rain,2024,3,11,March,Autumn
2024-04-11,12.9,19.2,0.0,7.6,7.7,S,30.0,17:33,15.5,57,6,SW,7,1015.1,18.8,47,4.0,SSW,9,1015.6,16.05,6.299999999999999,No Rain,No Rain,2024,4,11,April,Autumn
2024-05-11,9.5,26.0,0.0,4.8,10.7,S,20.0,13:31,15.6,63,1, ,Calm,1017.3,23.4,43,1.0,S,9,1012.4,17.75,16.5,No Rain,No Rain,2024,5,11,May,Autumn
2024-06-11,15.5,32.8,0.0,8.4,7.2,N,56.0,10:07,25.9,29,7,N,22,1005.5,29.0,42,7.0,WNW,6,1002.4,24.15,17.299999999999997,No Rain,No Rain,2024,6,11,June,Winter
2024-07-11,14.0,21.6,1.4,10.2,6.1,SSW,28.0,14:12,15.0,63,7,S,7,1011.0,19.8,46,6.0,S,13,1007.2,17.8,7.600000000000001,Rainy,Light,2024,7,11,July,Winter
2024-08-11,11.9,19.9,1.8,5.2,8.1,NW,46.0,12:16,15.7,55,6,NNW,19,1010.9,17.9,44,2.0,W,17,1013.3,15.899999999999999,7.999999999999998,Rainy,Light,2024,8,11,August,Winter
2024-09-11,8.2,19.0,0.6,5.2,5.9,NNW,30.0,9:05,14.2,56,2,N,9,1020.3,18.7,37,7.0,SW,6,1018.4,13.6,10.8,Rainy,Light,2024,9,11,September,Spring
2024-10-11,9.6,20.9,0.0,4.2,11.1,S,28.0,11:47,15.2,67,4,E,4,1024.0,19.1,47,3.0,SSW,13,1022.5,15.25,11.299999999999999,No Rain,No Rain,2024,10,11,October,Spring
2024-11-11,10.0,24.7,0.0,6.4,9.4,SSE,33.0,16:19,16.3,66,1,SE,2,1020.9,21.3,62,7.0,SSW,15,1017.8,17.35,14.7,No Rain,No Rain,2024,11,11,November,Spring
2024-12-11,13.2,25.0,0.0,6.8,5.7,WSW,28.0,17:05,17.7,72,4,N,2,1016.3,22.2,65,7.0,SW,7,1011.5,19.1,11.8,No Rain,No Rain,2024,12,11,December,Summer
2024-11-13,15.9,18.3,1.8,3.8,4.1,SSE,35.0,14:54,17.6,90,7,SW,2,1012.0,17.1,67,5.0,S,17,1014.3,17.1,2.4000000000000004,Rainy,Light,2024,11,13,November,Spring
2024-11-14,13.2,17.4,5.4,3.8,7.7,SSW,37.0,14:40,14.2,55,7,SSE,11,1020.4,17.1,50,1.0,S,11,1019.9,15.299999999999999,4.199999999999999,Rainy,Moderate,2024,11,14,November,Spring
2024-11-15,10.5,20.7,0.0,6.6,10.8,SSW,30.0,11:46,15.2,52,7,SE,7,1021.4,17.5,53,3.0,S,15,1018.7,15.6,10.2,No Rain,No Rain,2024,11,15,November,Spring
