Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),Average_Temperature,Temperature_Range,Rain_Status,Rain_Category,Year,Month,Day,Month_Name,Season
2024-01-27,12.1,24.7,0.0,5.8,10.1,S,37.0,15:43,16.4,63,1,NW,9,1009.5,24.0,38,4.0,SW,13,1007.3,18.4,12.6,No Rain,No Rain,2024,1,27,January,Summer
2024-01-28,15.5,26.3,0.0,7.6,11.2,S,24.0,14:42,18.6,68,7,WSW,9,1012.8,24.2,52,3.0,SSE,9,1011.6,20.9,10.8,No Rain,No Rain,2024,1,28,January,Summer
2024-01-29,16.9,27.2,0.0,5.4,11.7,SSW,41.0,18:11,20.6,77,1,N,6,1011.1,24.0,66,1.0,SSW,17,1011.1,22.049999999999997,10.3,No Rain,No Rain,2024,1,29,January,Summer
2024-01-30,18.1,23.3,0.0,7.8,10.7,SSW,41.0,15:49,19.0,70,7,SSE,13,1016.4,21.5,65,1.0,SSW,15,1013.7,20.700000000000003,5.199999999999999,No Rain,No Rain,2024,1,30,January,Summer
2024-01-31,15.6,21.6,0.0,5.8,7.7,SSW,35.0,14:12,18.5,57,7,SSE,11,1017.7,20.5,60,2.0,SSW,19,1017.5,18.6,6.000000000000002,No Rain,No Rain,2024,1,31,January,Summer
2024-01-02,15.3,24.3,0.0,5.6,11.1,S,35.0,14:25,18.3,68,7,W,9,1016.7,23.7,55,1.0,SSW,13,1013.6,19.8,9.0,No Rain,No Rain,2024,1,2,January,Summer
2024-02-02,15.7,20.9,0.0,8.0,12.9,S,35.0,16:26,17.5,62,3,WSW,11,1014.5,20.2,55,1.0,SSE,17,1014.3,18.299999999999997,5.199999999999999,No Rain,No Rain,2024,2,2,February,Summer
2024-03-02,12.1,33.4,0.0,7.6,13.0,SSW,30.0,16:46,17.0,65,0,NNE,11,1011.7,29.9,28,0.0,SSW,9,1007.8,22.75,21.299999999999997,No Rain,No Rain,2024,3,2,March,Autumn
2024-04-02,15.2,37.5,0.0,8.0,12.6,N,50.0,13:15,19.5,68,1,NNE,9,1006.4,35.6,22,1.0,NNW,24,1000.0,26.35,22.3,No Rain,No Rain,2024,4,2,April,Autumn
2024-05-02,19.5,19.9,0.0,14.6,0.0,S,35.0,6:40,19.6,78,7,SSW,9,1007.5,18.4,64,7.0,S,13,1010.4,19.7,0.3999999999999986,No Rain,No Rain,2024,5,2,May,Autumn
2024-06-02,16.0,21.1,1.0,3.4,11.9,SSW,35.0,11:48,17.6,54,4,SSE,9,1018.0,20.4,46,2.0,SSW,15,1019.7,18.55,5.100000000000001,Rainy,Light,2024,6,2,June,Winter
2024-07-02,12.4,21.9,0.2,7.2,12.9,SSW,39.0,14:10,17.7,63,5,ESE,9,1024.0,21.8,52,4.0,SSW,19,1024.1,17.15,9.499999999999998,Rainy,Light,2024,7,2,July,Winter
2024-08-02,14.6,22.4,0.0,6.4,10.9,SSW,31.0,15:16,16.9,71,7,SE,13,1026.4,21.4,59,1.0,SSW,13,1024.4,18.5,7.799999999999999,No Rain,No Rain,2024,8,2,August,Winter
2024-09-02,16.9,21.2,0.0,6.4,7.7,SW,35.0,14:46,18.9,71,7,S,15,1026.1,20.8,57,5.0,SSW,15,1025.6,19.049999999999997,4.300000000000001,No Rain,No Rain,2024,9,2,September,Spring
2024-10-02,15.1,26.7,0.0,6.6,9.6,SE,33.0,1:20,17.1,67,7,SSE,9,1026.4,25.6,46,1.0,WSW,7,1022.2,20.9,11.6,No Rain,No Rain,2024,10,2,October,Spring
2024-11-02,17.1,33.2,0.0,7.6,12.2,NNW,50.0,17:25,23.5,54,0,N,20,1019.8,31.3,38,1.0,N,20,1016.1,25.150000000000002,16.1,No Rain,No Rain,2024,11,2,November,Spring
