Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),1,49,33,28,10,7,14,92,195,438,562,931,1485,2394,2616,2144,1981,2129,2425,1870,1314,959,501,239,120
Bourke Street Mall (South),2,54,12,16,13,6,17,66,123,318,347,519,1006,1963,1659,1179,1165,1087,1075,769,558,470,300,215,88
Melbourne Central,3,103,61,30,22,17,30,75,198,371,402,565,888,1633,1602,1519,1667,1758,1986,1828,1604,1324,1178,765,371
Town Hall (West),4,132,55,40,26,33,73,162,384,797,879,1387,2060,3297,3125,3036,2837,2860,3101,2503,1787,1429,1354,903,307
Princes Bridge,5,73,22,16,16,28,82,313,605,1180,981,1080,1752,2036,2242,1979,2147,2152,2765,2703,1851,1393,1546,1531,227
Flinders Street Station Underpass,6,138,56,27,29,55,165,547,1211,3316,1605,985,1107,1617,1746,1469,1789,2607,4059,2193,1406,1233,1129,902,479
Birrarung Marr,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webb Bridge,8,9,1,0,1,1,10,111,334,547,404,270,377,654,550,382,432,502,705,389,229,184,55,24,11
Southern Cross Station,9,12,7,5,2,9,36,298,1114,3266,1958,644,636,1182,948,690,948,2281,2898,1140,323,192,124,152,32
Victoria Point,10,4,1,4,1,0,11,34,102,220,152,147,155,348,253,117,153,240,253,129,89,75,52,23,11
Waterfront City,11,7,7,4,2,1,5,44,50,67,88,54,58,123,139,85,80,80,131,150,138,178,154,59,21
New Quay,12,13,19,10,2,3,21,92,131,214,234,167,225,334,335,243,235,301,435,428,475,487,379,169,63
Sandridge Bridge,14,61,21,5,6,18,71,241,399,879,440,306,339,439,473,493,578,871,1242,671,417,390,400,342,145
Collins Place (South),17,10,15,8,21,35,86,195,503,1461,962,623,650,1318,1351,738,583,677,1046,522,217,253,148,145,45
Collins Place (North),18,3,3,2,1,3,22,101,384,1412,812,486,410,515,543,401,424,660,1159,438,168,74,64,32,19
Chinatown-Swanston St (North),19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinatown-Lt Bourke St (South),20,60,12,10,6,11,8,26,61,134,117,208,415,686,591,428,420,385,624,867,670,677,751,369,232
Bourke St-Russell St (West),21,99,34,20,7,4,9,28,85,152,198,254,421,887,792,612,648,561,773,603,613,578,532,356,189
Flinders St-Elizabeth St (East),22,82,43,30,38,37,92,432,900,1885,1417,1267,1503,2222,2205,1974,2239,2534,3223,2406,1769,1488,1368,841,266
Spencer St-Collins St (South),23,23,7,16,18,3,36,152,400,1085,668,436,587,1215,937,538,574,847,1221,596,327,281,213,147,90
Spencer St-Collins St (North),24,101,44,26,26,26,145,475,1042,2462,1490,1082,1095,1564,1457,1275,1536,2412,2903,1492,909,753,683,479,230
Melbourne Convention Exhibition Centre,25,51,17,13,20,17,53,260,490,833,733,588,657,947,1079,1080,1078,1301,1364,1015,571,601,553,380,130
QV Market-Elizabeth St (West),26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QV Market-Peel St,27,28,17,7,11,4,4,42,82,193,151,180,228,338,304,274,278,203,245,235,170,135,134,80,37
The Arts Centre,28,32,13,16,19,34,57,351,482,860,736,946,1455,1642,1731,1738,1779,1599,1746,1885,1293,580,1102,863,89
St Kilda Rd-Alexandra Gardens,29,38,11,22,7,9,58,163,211,364,242,275,526,547,781,662,728,732,755,812,641,306,232,229,62
