Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),1,164,108,61,62,53,14,32,50,146,507,1285,2060,2734,2597,2786,2669,2374,2256,1702,1199,758,433,264,258
Bourke Street Mall (South),2,153,128,77,98,31,14,32,40,82,314,650,1101,1362,1355,1462,1318,1157,850,706,474,420,266,217,182
Melbourne Central,3,631,360,274,258,130,80,60,82,169,402,858,1246,2008,2202,2311,2092,1935,1836,1895,1760,1331,1231,972,1019
Town Hall (West),4,1058,430,212,163,97,87,111,158,333,789,1610,2932,4354,4126,4454,3410,3130,2973,2225,1902,1518,1453,1189,1364
Princes Bridge,5,549,222,94,70,54,54,137,201,351,905,1513,2947,3739,3728,3651,3427,2887,2838,2285,2376,2118,2131,1476,1656
Flinders Street Station Underpass,6,709,341,208,119,105,105,166,199,375,707,1061,1511,1751,2202,2160,2004,1897,1950,1802,1472,1186,1199,1225,901
Birrarung Marr,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webb Bridge,8,17,7,1,2,2,0,27,108,194,270,339,438,368,396,432,395,392,338,337,187,309,100,48,31
Southern Cross Station,9,14,19,17,19,16,17,32,37,56,110,109,134,142,144,148,111,132,106,121,127,160,108,73,30
Victoria Point,10,27,21,11,3,0,6,9,20,34,46,103,84,96,53,64,64,88,102,150,112,105,78,129,43
Waterfront City,11,37,9,7,4,2,5,15,41,66,105,149,131,98,124,174,143,171,179,254,329,706,559,307,45
New Quay,12,86,31,17,22,2,19,42,95,123,273,388,396,354,408,472,374,442,584,649,1024,1354,1100,772,189
Sandridge Bridge,14,306,180,98,65,68,62,78,107,163,274,387,461,494,551,519,557,623,607,606,497,507,523,497,412
Collins Place (South),17,42,34,12,9,22,17,46,68,113,235,399,382,451,466,487,340,282,294,266,203,133,147,96,120
Collins Place (North),18,9,10,5,0,3,1,7,27,39,157,274,287,340,264,269,121,114,131,116,58,28,25,29,29
Chinatown-Swanston St (North),19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinatown-Lt Bourke St (South),20,664,254,215,187,50,25,32,35,74,136,312,568,900,763,616,711,476,591,693,683,641,538,368,235
Bourke St-Russell St (West),21,405,251,157,162,44,16,21,23,72,148,278,552,872,1035,983,792,729,769,610,762,705,540,394,446
Flinders St-Elizabeth St (East),22,386,230,174,134,80,69,129,261,418,845,1359,1761,2184,3081,2591,2419,2375,2177,2180,1889,1480,1422,1350,915
