Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),1,53,25,24,12,5,16,100,235,453,584,884,1515,2369,2635,2327,2288,2118,2320,1743,1211,664,447,272,124
Bourke Street Mall (South),2,47,15,10,9,8,11,45,126,268,368,512,860,1618,1768,1406,1201,1079,1066,660,425,319,202,158,74
Melbourne Central,3,203,101,88,39,28,37,103,193,370,437,695,926,1668,1691,1652,1846,1853,1963,1826,1570,1300,1009,558,342
Town Hall (West),4,140,92,37,27,31,96,184,398,818,1016,1475,2204,3256,3506,3148,3081,2977,2981,2375,1799,1334,1131,746,311
Princes Bridge,5,71,35,12,29,33,62,350,582,1118,1017,1265,1832,2229,2285,2164,2101,2270,2609,2406,1869,1149,1271,1320,193
Flinders Street Station Underpass,6,107,50,33,12,40,142,546,1236,3182,1515,884,1185,1615,1596,1510,1838,2625,3820,2201,1418,1244,1023,840,423
Birrarung Marr,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webb Bridge,8,2,0,0,1,2,9,132,329,536,362,246,350,728,597,426,416,477,705,384,200,213,46,23,9
Southern Cross Station,9,7,10,7,9,6,51,340,1196,3087,1836,632,519,1336,901,683,1048,2477,2720,861,239,142,79,71,43
Victoria Point,10,3,0,1,0,2,7,61,127,221,192,110,149,309,200,125,192,215,254,101,89,76,68,15,3
Waterfront City,11,5,2,2,0,0,7,41,58,67,46,69,84,134,147,94,70,98,97,147,158,193,114,58,12
New Quay,12,24,17,9,4,2,22,104,205,234,180,205,190,400,362,236,189,313,336,396,472,505,334,151,38
Sandridge Bridge,14,54,19,14,4,34,74,225,369,827,396,311,390,482,505,518,600,894,1209,600,460,441,403,283,158
Collins Place (South),17,31,11,17,5,23,64,176,484,1403,861,640,630,1371,1316,794,689,657,883,499,174,209,130,120,74
Collins Place (North),18,8,1,3,2,4,20,108,439,1322,767,403,377,525,502,376,409,619,1125,441,177,109,59,43,17
