Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),1,79,57,19,24,17,16,80,110,364,730,1128,1941,2517,2677,2613,2533,2497,2725,2345,1984,1434,806,422,292
Bourke Street Mall (South),2,100,45,23,16,10,10,48,105,195,453,780,1101,1517,1733,1572,1249,1287,1321,955,767,651,337,303,294
Melbourne Central,3,243,126,77,41,20,41,107,146,311,453,670,1066,1714,1917,1763,1869,1911,2182,2096,1830,1964,1918,1583,1212
Town Hall (West),4,435,133,76,24,38,59,158,312,635,1043,1699,2622,3432,3639,3434,3264,3462,3658,3184,2808,2587,2371,2019,2065
Princes Bridge,5,393,64,38,25,39,74,238,456,874,1062,1591,2340,2524,2476,2518,2464,2420,3102,3160,3219,2399,2747,2483,2622
Flinders Street Station Underpass,6,290,74,34,26,38,134,427,780,1913,1140,1088,1494,1876,1797,1792,1968,2402,3118,2420,1821,1536,1554,1694,1174
Birrarung Marr,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webb Bridge,8,4,5,0,0,0,7,117,253,343,324,339,379,555,512,454,453,521,536,432,281,278,109,57,30
Southern Cross Station,9,27,20,8,2,6,38,205,608,1557,919,424,386,952,567,483,706,1174,1265,463,174,133,110,93,64
Victoria Point,10,10,1,0,0,0,5,31,81,117,104,114,116,235,236,154,174,170,163,136,109,92,71,38,22
Waterfront City,11,10,0,0,0,3,1,46,55,65,58,86,82,112,77,94,87,108,97,158,210,255,147,121,63
New Quay,12,43,36,4,2,9,14,93,140,212,216,238,246,322,311,333,301,409,469,540,545,616,488,312,214
Sandridge Bridge,14,95,37,10,14,18,55,178,238,465,372,407,437,502,503,625,523,667,945,704,556,468,584,560,455
Collins Place (South),17,37,19,16,14,18,66,122,346,878,529,484,534,835,823,587,423,537,632,411,343,215,228,222,150
Collins Place (North),18,10,3,2,1,5,9,81,242,743,518,349,351,417,431,404,389,508,561,282,171,107,74,94,39
Chinatown-Swanston St (North),19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinatown-Lt Bourke St (South),20,167,102,64,47,28,22,28,30,104,159,278,396,707,598,469,385,383,576,926,1652,1116,761,1064,933
Bourke St-Russell St (West),21,160,85,50,28,23,10,43,52,103,165,268,474,779,795,700,649,575,743,815,1023,745,738,738,680
Flinders St-Elizabeth St (East),22,239,115,72,33,33,93,373,648,1473,1350,1568,1971,2364,2309,2365,2422,2698,3093,2707,2106,1890,1793,1624,1021
Spencer St-Collins St (South),23,37,22,9,18,11,38,105,255,583,395,367,546,807,663,474,509,611,713,440,364,225,271,205,155
Spencer St-Collins St (North),24,125,46,47,44,31,145,373,759,1711,1201,940,1162,1334,1454,1273,1420,1777,2092,1317,790,485,692,728,656
Melbourne Convention Exhibition Centre,25,90,41,15,14,11,33,171,348,494,606,886,1136,1252,1372,1211,1335,1392,1404,1350,1175,1070,1065,783,372
QV Market-Elizabeth St (West),26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QV Market-Peel St,27,45,37,7,7,6,6,39,79,143,206,231,287,321,374,279,245,189,250,229,227,160,166,114,91
The Arts Centre,28,80,24,22,31,39,46,271,379,601,857,1408,1999,2283,2168,2078,1931,1595,1856,1938,2152,970,1563,1368,1722
St Kilda Rd-Alexandra Gardens,29,218,35,19,15,8,32,187,212,304,356,502,737,950,949,1068,933,1009,1082,1355,1808,1544,792,776,2598
Lonsdale St (South),30,220,202,84,93,46,43,23,58,160,230,315,383,618,696,513,566,592,722,816,868,803,760,796,903
Lygon St (West),31,19,6,7,8,6,9,27,37,112,113,160,219,269,320,283,273,291,331,409,513,666,609,604,425
Southbank,35,791,119,56,34,31,113,505,923,1822,1325,1460,2049,2551,2632,2309,2433,3022,4081,3870,3486,3099,3143,3328,2111
Queen St (West),36,87,22,21,13,9,21,63,88,280,229,260,329,620,553,355,305,352,508,399,292,299,227,207,255
Lygon St (East),37,22,18,2,9,1,8,7,33,66,95,90,165,239,234,202,210,204,233,248,0,0,0,0,134
Alfred Place,39,3,0,0,0,0,2,11,66,163,188,193,179,339,264,175,130,163,218,184,112,33,10,7,10
Lonsdale St-Spring St (West),40,37,20,11,5,5,18,62,126,297,265,217,311,481,393,340,336,262,403,345,266,217,224,277,115
Grattan St-Swanston St (West),42,12,3,2,2,3,7,30,59,156,203,189,217,252,249,178,213,225,235,129,124,98,67,34,62
Monash Rd-Swanston St (West),43,6,0,1,1,2,14,26,44,106,226,118,115,268,184,132,183,225,215,165,137,95,46,16,26
Tin Alley-Swanston St (West),44,3,0,0,0,2,0,16,43,63,192,99,82,174,115,84,103,116,122,93,71,74,24,4,11
Little Collins St-Swanston St (East),45,204,72,27,33,29,29,74,185,365,445,632,1039,1417,1590,1367,1483,1376,1605,1613,1434,1290,1274,1174,995
