Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
01/12/24,18.8,24.9,11.2,3.2,7,N,44,9:31,21.1,59,1,N,22,1002.7,24,47,7,W,11,1002.8
02/12/24,15.5,31.8,1.8,6.6,12.3,N,41,13:45,20.8,70,5,NNE,6,1006.8,29.9,33,7,NNW,24,1002.5
03/12/24,20.7,31.1,0.4,9.8,10.7,WNW,43,12:59,25.5,69,7,N,20,1000.3,30,32,5,W,15,1001.2
04/12/24,13.4,24.8,0,12,13,SW,30,12:46,17.2,56,3,S,11,1017.4,20.8,55,1,SSW,15,1016.9
05/12/24,13.9,33.2,0,7.4,13.6,SSE,28,17:41,20.5,67,0,ENE,4,1017.1,32,18,1,SSW,13,1014.6
06/12/24,20.4,30.4,0,11.2,3.2,SSW,39,11:15,27.8,47,7,NNE,9,1014.1,23.7,60,8,SSW,13,1015.4
07/12/24,19.5,26.6,3.8,5.2,10,S,35,16:07,23.4,79,7,N,13,1007.1,26,66,3,SSW,11,1006.7
08/12/24,13.8,20.5,0,8.6,12.2,WSW,31,6:43,16.6,53,6,SW,13,1015.3,19.6,47,1,S,15,1015
09/12/24,12.7,21.7,0,8,8.6,SSW,26,17:22,15.3,61,7,W,9,1016.9,19.6,45,1,SSW,9,1015.4
10/12/24,14.6,21.9,0,6,10.9,S,33,15:03,17.6,57,6,SSW,9,1016,21.2,43,7,SSW,11,1014.6
11/12/24,13.9,24,0,7.2,10.7,W,28,7:56,16.4,60,7,WSW,13,1013.5,22,39,2,SSW,9,1010.4
12/12/24,16.2,26.5,0,7.6,11.6,WSW,30,1:39,17.4,66,5,NW,9,1009.9,24.3,53,4,S,11,1007.6
13/12/24,16.8,21.7,0,8.2,9.9,S,28,10:43,17.6,72,7,W,7,1010.1,21.1,60,3,SSW,15,1010.4
14/12/24,12.6,24.2,0,7,4.2,SSW,28,16:22,17.5,65,6,ESE,9,1011.7,23.8,53,7,SSW,11,1008.9
15/12/24,12.8,31.6,0,5.2,12.9,SSE,28,18:10,19.2,64,0,ENE,2,1013.3,27.4,54,1,WSW,9,1010
16/12/24,18.8,39.4,0,11.2,2.6,NNW,56,13:52,29.9,42,7,NNE,11,1006.4,37.3,27,6,N,31,1001.4
17/12/24,17.6,23.4,1.2,12.6,11.5,SSE,43,17:29,19,58,4,WSW,11,1011.7,21,51,3,S,17,1011.9
18/12/24,15.2,21.8,0,10.2,12.4,SSW,43,13:42,17.4,56,7,SSE,13,1021.6,20.3,50,1,S,20,1020.8
19/12/24,11.3,31.1,0,9.2,13.5,N,35,9:44,17.6,61,0,NNW,11,1019.9,29.4,27,1,E,9,1015.5
20/12/24,16.2,34.6,0,11.4,10,SSW,44,15:39,23.3,45,1,NNE,6,1011.2,34,24,7,NNE,13,1006.3
21/12/24,16.5,20.3,0,10.8,8.7,S,41,13:44,18.2,53,7,S,13,1014.1,19,52,5,SSW,20,1013.1
22/12/24,14.3,21.6,0,8.6,7.5,S,44,19:40,16.4,56,7,SSE,7,1010.2,20.6,42,3,SSW,13,1006.3
23/12/24,11,18.5,16,7,8.5,SSW,43,19:52,14.4,63,3,SW,15,1009.4,17.9,51,7,SSW,15,1010
24/12/24,12.7,23,0.8,6.8,6.3,SSW,28,9:06,15.5,69,7,W,13,1016.4,21.1,52,7,SSW,9,1015.9
25/12/24,15.5,33.4,0,6.4,12.5,SE,30,17:11,19.2,71,1,ENE,7,1016.4,31.2,27,1,SSE,6,1012.1
26/12/24,18.8,36.7,0,15.6,2,SW,52,20:30,30.7,28,5,N,19,1005.6,36,15,7,NNW,20,998.8
27/12/24,16.5,21.5,0,13.2,5.7,S,39,16:19,17.1,56,7,W,11,1006,20.5,47,7,SSW,13,1007
28/12/24,11.9,23.7,0,7,6.3,SSW,46,16:35,18.3,46,2,NNW,6,1009.9,22.8,34,7,W,11,1008.5
29/12/24,12,25.3,3.4,5.6,12.8,SSW,28,17:40,17,62,1,WSW,6,1016.8,24,41,6,SSW,9,1015.9
30/12/24,14,26.9,0,8.4,8.3,SSW,33,18:35,19.9,65,5,S,4,1017.8,26.6,43,7,S,9,1015.4
31/12/24,16.3,25,0,7.6,11.6,S,35,18:06,19.7,68,7, ,Calm,1018.1,22.9,50,1,SSW,15,1015.2
